Start Date,Type,In Dev,Blocked,In QA/BAT,Blocked,In Deployment,Blocked,,Total In Doing,Total Blocked,Total,"Avg Cycle Time
"
16/03/2015,Tech,3,3,0,0,0,0,,3,3,6,3
16/03/2015,Tech,4,1,0,0,0,0,,4,1,5,3
17/03/2015,Tech,4,0,0,0,0,0,,4,0,4,3
27/03/2015,Tech,3,0,0,0,0,0,,3,0,3,3
30/03/2015,Tech,2,0,0,0,0,0,,2,0,2,3
30/03/2015,Tech,1,0,1,0,0,0,,2,0,2,3
31/03/2015,Tech,1,0,0,0,0,0,,1,0,1,3
01/04/2015,Tech,1,0,0,0,0,0,,1,0,1,3
01/04/2015,Tech,1,0,0,0,0,0,,1,0,1,3
02/04/2015,Feature,1,1,0,0,2,0,,3,1,4,3
02/04/2015,Feature,4,1,0,0,0,0,,4,1,5,3
07/04/2015,Feature,1,0,0,0,2,0,,3,0,3,3
08/04/2015,Feature,1,0,0,0,0,0,,1,0,1,3
09/04/2015,Feature,2,0,1,1,0,0,,3,1,4,3
